name,datetime,tempmax,tempmin,temp,feelslike,precip,humidity,windspeed,temp_media,amplitude_termica,dia_semana
Caxias do Sul,2026-02-06,33.6,16.5,23.7,23.6,0.0,67.1,11.2,25.05,17.1,Friday
Caxias do Sul,2026-02-07,20.7,15.9,18.7,18.7,4.8,96.5,7.9,18.3,4.799999999999999,Saturday
Caxias do Sul,2026-02-08,28.6,13.0,20.1,20.0,0.1,73.6,12.6,20.8,15.600000000000001,Sunday
Caxias do Sul,2026-02-09,33.7,15.9,23.2,23.0,0.0,66.0,12.2,24.8,17.800000000000004,Monday
Caxias do Sul,2026-02-10,33.5,17.5,22.7,22.7,2.5,75.6,8.6,25.5,16.0,Tuesday
Caxias do Sul,2026-02-11,36.3,18.5,26.1,25.8,0.3,60.5,10.4,27.4,17.799999999999997,Wednesday
Caxias do Sul,2026-02-12,33.8,19.5,24.5,24.6,20.4,73.2,8.3,26.65,14.299999999999997,Thursday
Caxias do Sul,2026-02-13,34.0,19.1,24.5,24.8,5.8,76.4,9.7,26.55,14.899999999999999,Friday
